Sl. No,Satellite Name,Launch Date,Launch Vehicle,Status,Mission Type,Orbit Type,NORAD ID,Operating Country,Operating Organization,Remarks
1,Aryabhatta,19-04-1975,C-1 Intercosmos,Not Operational,Technology Demonstration,Low Earth Orbit (LEO),07752,India,Indian Space Research Organisation (ISRO),N/A
2,Bhaskara-1,07-06-1979,C1 Intercosmos,Not Operational,Earth Observation,Low Earth Orbit (LEO),11392,India,Indian Space Research Organisation (ISRO),N/A
3,Rohini Technology Payload,10-08-1979,SLV-3E1,Not Operational,Technology Demonstration,N/A (did not reach orbit),N/A,India,Indian Space Research Organisation (ISRO),N/A
4,RS-1,18-07-1980,SLV-3E2,Not Operational,Technology Demonstration,Low Earth Orbit (LEO),11899,India,Indian Space Research Organisation (ISRO),N/A
5,RS-D1,31-05-1981,SLV-3D1,Not Operational,Earth Observation,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
6,APPLE,19-06-1981,Ariane -1(V3),Not Operational,Technology Demonstration (Communications),Geostationary Orbit (GEO),12545,India,Indian Space Research Organisation (ISRO),N/A
7,BHASKARA-2,20-11-1981,C-1 Intercosmos,Not Operational,Earth Observation,Low Earth Orbit (LEO),12968,India,Indian Space Research Organisation (ISRO),N/A
8,INSAT-1A,10-04-1982,Delta,Not Operational,Communications,Geostationary Orbit (GEO),13129,India,Indian Space Research Organisation (ISRO),Satellite failure
9,RS-D2,17-04-1983,SLV-3,Not Operational,Earth Observation,Low Earth Orbit (LEO),14002,India,Indian Space Research Organisation (ISRO),N/A
10,INSAT-1B,30-08-1983,Shuttle [PAM-D],Not Operational,Earth Observation/Communications,Geostationary Orbit (GEO),14318,India,Indian Space Research Organisation (ISRO),N/A
11,SROSS-1,24-03-1987,ASLV-D1,Not Operational,Technology Demonstration,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
12,IRS-1A,17-03-1988,Vostok,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),18960,India,Indian Space Research Organisation (ISRO),N/A
13,SROSS-2,13-07-1988,ASLV-D2,Not Operational,Technology Demonstration,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
14,INSAT-1C,22-07-1988,Ariane-3,Not Operational,Communications,Geostationary Orbit (GEO),19330,India,Indian Space Research Organisation (ISRO),Satellite failure
15,INSAT-1D,12-06-1990,Delta 4925,Not Operational,Earth Observation/Communications,Geostationary Orbit (GEO),20643,India,Indian Space Research Organisation (ISRO),N/A
16,IRS-1B,29-08-1991,Vostok,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),21688,India,Indian Space Research Organisation (ISRO),N/A
17,SROSS-C,20-05-1992,ASLV-D3,Not Operational,Technology Demonstration,Low Earth Orbit (LEO),21968,India,Indian Space Research Organisation (ISRO),N/A
18,INSAT-2A,10-07-1992,Ariane-44L H10,Not Operational,Communications,Geostationary Orbit (GEO),22027,India,Indian Space Research Organisation (ISRO),N/A
19,INSAT-2B,23-07-1993,Ariane-44L H10+,Not Operational,Communications,Geostationary Orbit (GEO),22724,India,Indian Space Research Organisation (ISRO),N/A
20,IRS-1E,20-09-1993,PSLV-D1,Not Operational,Earth Observation,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
21,SROSS-C2,04-05-1994,ASLV-D4,Not Operational,Technology Demonstration,Low Earth Orbit (LEO),23099,India,Indian Space Research Organisation (ISRO),N/A
22,IRS-P2,15-10-1994,PSLV-D2,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),23323,India,Indian Space Research Organisation (ISRO),N/A
23,INSAT-2C,07-12-1995,Ariane-44L H10-3,Not Operational,Communications,Geostationary Orbit (GEO),23731,India,Indian Space Research Organisation (ISRO),N/A
24,IRS-1C,28-12-1995,Molniya,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),23751,India,Indian Space Research Organisation (ISRO),N/A
25,IRS-P3,21-03-1996,PSLV-D3,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),23827,India,Indian Space Research Organisation (ISRO),N/A
26,INSAT-2D,04-06-1997,Ariane-44L H10-3,Not Operational,Communications,Geostationary Orbit (GEO),24820,India,Indian Space Research Organisation (ISRO),Satellite failure
27,IRS-1D,29-09-1997,PSLV-C1,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),24971,India,Indian Space Research Organisation (ISRO),N/A
28,INSAT-2E,03-04-1999,Ariane-42P H10-3,Not Operational,Communications,Geostationary Orbit (GEO),25666,India,Indian Space Research Organisation (ISRO),N/A
29,OCEANSAT-1(IRSP4),26-05-1999,PSLV-C2,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),25758,India,Indian Space Research Organisation (ISRO),N/A
30,INSAT-3B,22-03-2000,Ariane-5G,Not Operational,Communications,Geostationary Orbit (GEO),26108,India,Indian Space Research Organisation (ISRO),N/A
31,GSAT-1,18-04-2001,GSLV-D1,Not Operational,Communications,N/A (launch failure),N/A,India,Indian Space Research Organisation (ISRO),Launch unsuccessful
32,TES,22-10-2001,PSLV-C3,Not Operational,Technology Demonstration,Sun-Synchronous Orbit (SSO),26957,India,Indian Space Research Organisation (ISRO),N/A
33,INSAT-3C,24-01-2002,Ariane5-V147,Not Operational,Communications,Geostationary Orbit (GEO),27298,India,Indian Space Research Organisation (ISRO),N/A
34,KALPANA,12-09-2002,PSLV-C4,Not Operational,Earth Observation (Meteorology),Geostationary Orbit (GEO),27525,India,Indian Space Research Organisation (ISRO),N/A
35,INSAT-3A,10-04-2003,Ariane5-V160,Not Operational,Earth Observation/Communications,Geostationary Orbit (GEO),27714,India,Indian Space Research Organisation (ISRO),N/A
36,GSAT-2,05-08-2003,GSLV-D2,Not Operational,Communications,Geostationary Orbit (GEO),27807,India,Indian Space Research Organisation (ISRO),N/A
37,INSAT-3E,28-09-2003,Ariane5-V162,Not Operational,Communications,Geostationary Orbit (GEO),27951,India,Indian Space Research Organisation (ISRO),N/A
38,RESOURCESAT-1,17-10-2003,PSLV-C5,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),28051,India,Indian Space Research Organisation (ISRO),N/A
39,EDUSAT,20-09-2004,GSLV-F01,Not Operational,Communications (Education),Geostationary Orbit (GEO),28417,India,Indian Space Research Organisation (ISRO),N/A
40,CARTOSAT-1,05-05-2005,PSLV-C6,Not Operational,Earth Observation,Sun-Synchronous Orbit (SSO),28649,India,Indian Space Research Organisation (ISRO),N/A
41,HAMSAT,05-05-2005,PSLV-C6,Not Operational,Technology Demonstration (Amateur Radio),Sun-Synchronous Orbit (SSO),28650,India,Indian Space Research Organisation (ISRO),N/A
42,INSAT-4A,22-12-2005,Ariane5-V169,Not Operational,Communications,Geostationary Orbit (GEO),28911,India,Indian Space Research Organisation (ISRO),N/A
